Comment,Score,Wing,Sentiment
I think history is completely different than we've been taught,0.82819438,C,positive
The wooden bird was created for those sailing the Nile to see the direction of the wind and the speed. It never soared over the desert. The ancient Egyptians relied heavily on the wind. I think that in itself is fascinating. Why do have to create these fantastical stories about ancient Egypt. The Egyptians were extremely practical people. Inventions with useful purposes in their day to day life were of much more value than toy birds that could fly. They probably wouldn__ have been concerned with trying to fly. They had a convenient natural highway called the Nile which they felt was sent by the Gods and made them special.,0.84060681,C,positive
The tall vertical tail meant that this bird was used as a wind vane to detect which direction the wind was coming from. They would have known from which direction sand storms were likely to come from and thus used this bird to detect such wind directions.,0.7550782,C,neutrally positive
"I think the wooden bird flies because it was modelled directly from _ a bird, and birds actually do fly.  It__ the bird that has developed the secret power of flight over millennia, not humans. As for the weird carvings, if you look closely you can see they bump up against the hieroglyphs, especially note the standing bird glyph. Egyptians spaced everything according to strict rules, they never carved symbols that bumped into each other. I think those weird carvings are a lot more recent than we are led to believe here. This doesn__ negate the influence of higher evolved visitors at some time, or the Atlanteans (who may have begun an isolated mini-civilisation after a crash landing, and much later had to flee to Egypt, the Gobi Desert region__ot desert then__nd the Andes), but I don__ think this is the evidence for any of that.",0.80091089,C,positive
Also the aileron was ahead of the rudder. They made an exact reproduction of this aircraft and it flew easier than ours and landed very easy too.,0.86491829,C,positive
"For a civilization that had the ability to built the massive pyramids to such precision, using simple tools available at its time, they must have studied very in-depth about various scientific theories. I would not be surprised if some Egyptians managed to discover the concept of aerodynamics and wrote his findings down into the walls of the pyramids using the language of his time, hoping that some future smart people can decipher his works.",0.67283982,C,neutrally positive
"I missed the ""chilling"" part, but was fascinated by the flying part.",0.92235249,C,positive
All I do is read about history I can__ stop. I honestly think these ancient civilizations especially the Egyptians just had amazing technology that was eventually just lost in time and then we came along.,0.30046451,C,neutrally negative
"Book titled ""The Atlantis Blueprint"" by Rand Flem-Ath and Colin Wilson, explains it all. There was an advanced civilization on the Earth, and this book outlines many proofs stating that before a massive shift of Earth's ""crust""; which caused Great Flooding stories, the current Antarctic Continent was higher up and much  more habitable. It also was ""the hub"" for an advanced human civilization. The real mystery is how they have been able to suppress and ignore such a well written and exquisitely researched study by serious academically credentialed researchers!! I cringe after coming upon these shows on History, Discovery, ""Science"", etc. that continually talk about Atlantis being in the Caribbean, Atlantic or Mediterranean Seas/Oceans. At least they have not banned this book yet, but they sure like to ignore it. Also, they have ""closed off"" the entire Antarctic Continent to visitation or study, except for ""specially approved"" personnel!!",0.72760212,C,neutrally positive
"Truth. Without being rude or vituperative, I believe the cultures that found many of these tombs and ruins did not know how to give ancient people, especially with darker complexions and seemingly simpler lives, credit for advanced knowledge. Yet, for much of science, the evidence is in plain sight. Very interesting video!!",0.71710926,C,neutrally positive
"If I could go back in time, I would love to be around those civilizations",0.86979026,C,positive
"We can only guess what history is, there is a lot of mistakes made in the pass, when they thought something was used one way and it turns out to be something completely different. I love history.",0.84077185,C,positive
"00:05:03 she talks about finding ""9"". She theorizes this symbolizes Mars. There is another theory this may reference the 9 gods or 9 gods of creation. This is referenced in cultures all over the world - quite interesting. Supposedly these 9 gods are represented by the Big Dipper constellation. 7 visible stars and 2 invisible. I highly recommend looking it up ;)",0.57310021,C,neutral
"Just playing with all this in a mystic fashion_ a couple years ago, I wrote this- __as thinking about the symbol of infinity yesterday and the thought occurred to me that we__e sitting in the intersection of this loop, one side our past the other our future, all looping back to the present where we sit._
 
With this in mind, think of those who claim to see past lives, and also consider that in the etheric realm time is not linear, it__ occurring simultaneously! What if those who built the ancient world were able to see these future time lines? Bringing with them the technologies of future times into the presents consciousness, in turn planting the seeds that have brought us to where we are today.",0.92640698,C,positive
I was in a tomb in Egypt and I saw drawings on the walls of flying machines. It just amazed me. How do you explain this?,0.70139247,C,neutrally positive
The principles of lift were well know in ancient times.  Even the Australian Aboriginal had the boomerang which gave aerodynamic lift and was used as a hunting weapon. And very effective it is too.,0.95147222,C,positive
"This is the reason why I was first attracted to the work of Erich Von DÃ¤niken ..he would ask the same questions that I had found so intriguing, interest piqued by some of the most baffling finds in history",0.92320091,C,positive
Legend says we are living in post apocalyptic times and that the past was the future and I believe that seeing how they built temples with precise carving? More like laser cut.,0.59328407,C,neutral
"So what was the chilling message?  That the ancients may have known how to fly thousands of years ago, and that knowledge was lost until being rediscovered only in the 20th century?  Or is it that we may have come from Mars?  

Where are the prophecies of the end of the world in our time, that may have been chilling, if you believe such things?",0.43144634,C,neutral
"It's obvious they had carved stone flying machines, Stone is easy to work with readily available too, also it's well suited for water, imagine submarines made from carved stone they would be great,",0.71439004,C,neutrally positive
Absolutely the best images I've seen yet. Great job,0.92501628,C,positive
Is it just me or has the earth been  getting a bit volcanoey recently _,0.78660452,C,neutrally positive
"Finally, a footage that shows how land  we live on was created __",0.54281247,C,neutral
didnt this happend about 8 to 10 days ago?,0.46878502,C,neutral
More CO2 emitted than electric cars could save in 500 years.,0.69892454,C,neutrally positive
Wow,0.23194392,C,neutrally negative
Insane,0.29209325,C,neutrally negative
"""Seen from space""
What!? That footage wasn't filmed in London? Hurr Durr",0.46236131,C,neutral
Uau,0.46582416,C,neutral
Like a boom atom,0.67846978,C,neutrally positive
"_¤² We ask God for safety and wellness __
__ May God forgive them all____",0.47718686,C,neutral
Just saw video of a missile entering water then the explosion. Not a natural volcanic eruption it seems,0.86199164,C,positive
Epic  !,0.79823691,C,neutrally positive
Ice caps just melted a bit more lol,0.83461314,C,positive
Comforting soundtrack,0.64103436,C,neutrally positive
Boom __,0.4565382,C,neutral
Cant believe the climate alarmists aren't all over this one,0.6886605,C,neutrally positive
I have better graphics on my PS2. Space my ass! This is stop motion from a balloon or airplane.,0.40077436,C,neutral
Imagine how much aquatic life just died there,0.469614,C,neutral
Im ready to die,0.7711857,C,neutrally positive
Lost my son. Not in war. Don__ get out of bed much. Watched this and it just inspires me to fight for my life. Thank you. Both of you.,0.98331463,C,positive
"Lost my leg 6 weeks ago,  waiting for prosthesis to arrive. Marcus is a true inspiration,  I will go on for him",0.9217822,C,positive
"People don't understand how many people gave their lives to rescue Markus. It surely weighs heavily on his mind,body and soul.",0.87942141,C,positive
Man handles his emotions soo well. He__ right on the break of crying and goes back to normal conversation.,0.84562826,C,positive
"""Pain is a matter of the perspective from the person who is going through it""---Marcus Luttrell",0.79813242,C,neutrally positive
"I took some serious hurt in combat myself... still recovering from it. Lost half my stomach, a nice chunk of intestines, my gall bladder, my spleen, my left leg, and my left eye is absolutely fucked. Most days, I don't even understand how I manage not to eat a bullet myself by lunch. My life is just unending pain. 

But Marcus inspires me to keep pushing... even if it kills me, I'm getting back into the fight. Somehow, someway... I won't let that shit kill me. Not without one hell of a fight. 

When Death comes for me, it better come strapped. Because I'll greet it like everything else that has tried to kill me in my life... with a big fuck you and a foot up its ass. 

Now, if I could only relearn how to trust that it's just a fart...",0.30294767,C,neutrally negative
"__ don__ get battle weakened, I get battle hardened_ *slow clap* this man is badass.",0.79150695,C,neutrally positive
"A good friend of mine from High School died preventing an incident that almost took out a vehicle full of Navy Seals.  Chief Petty Officer Jason Finan was the first casualty of the retaking of Mosul, Iraq on October 20th, 2016.  After spotting an IED he pulled his truck to prevent Seal Team 3 from driving through it.  He was one of those guys that disarms bombs.  Anyway, it wasn't the one he saw that got him.  That one turned out to be a decoy, the one that got him was hidden.  I can't even imagine what these guys go through but I can tell you not being an emotional person must help because the feelings I felt, as a citizen, thousands of miles away when I first heard the news were completely unexpected.  Reading about war, seeing it in the news and movies, none of it gets real until someone you know is killed over there.  I found myself thinking about the sick pathetic piece of shit who built that IED, similar to that fire you get when someone effs with one of your friends or family but quite a bit more.  I'm not an angry person, nor violent, yet I found myself day dreaming of pretty messed up shit happening to that guy....  And yet I am here, in the comfort of my home, thousands of miles away... While those guys are still out there, right now and these things are happening to their friends and family right before their eyes...  I can't even begin to imagine what it's like, nor do I want to.   And that is why I thank all of you who served for your service, even though you and I both know you don't do it for that.  Thank you.",0.91418856,C,positive
Absolutely cut from a different cloth. We are honored to have people like this serving us and our country.,0.95808095,C,positive
"Very profound interview.  Kudos to Joe Rogan.  I found the decision Marcus made to re-engage in the combat world to be likely therapeutic. He says ""I had to"".  Whatever drove him to re-engage in Iraq I feel like probably saved his sanity and did not allow the horror he lived in Afghanistan to consume him.  Seems like maybe the re-engagement in Iraq allowed the Afghanistan experience to become somewhat of an experience along a bit of a continuum as opposed to an event that destroyed his ability to cope - at least for him.  God Bless Marcus Luttrell and the tribe of men he belongs to.",0.96970826,C,positive
"My father, a Marine, knew one of the men that went and tried to rescue Markus. Ended up dying from the helicopter being shot at. Rip Jason.",0.74557066,C,neutrally positive
"When he__ says when the enemy wears us out they think they have us, unfortunately that__ bad  for them bc that__ when our training kicks In and we fight hard , u can almost feel his emotions and adrenaline he has when having flashbacks of his experiences, god bless that man",0.61858833,C,neutrally positive
I have so much respect for this man He's warrior and a hero. He also seems to be a pretty good guy too,0.90116751,C,positive
He has to feel frustrated when telling his story because there are no words or expressions that can paint the true picture of the shit he saw/did. Straight up can__ respect him enough. Amazing dude.,0.79602957,C,neutrally positive
